id,publicId,gid,displayName,name_thai,name_english,lat,lng,zipcode,categories,primary_category,is_likely_food,default_photo_url,detail_url,fb_page_url,fb_page_results_count,fb_page_check_status
640688,640688Vq,09VxFaGtGqwNr6Q1nbH75ILas2VQfD,Café Amazon - SD2457 ตึกแถวตรงข้าม รพ.กุมภวาปี,คาเฟ่ อเมซอน - SD2457,Café Amazon - SD2457,17.106145587011532,103.0189157786347,41110,ร้านกาแฟ/ชา,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2026/05/29/19af7d0add964228a3f1a3efcb7f0af0.jpg,https://www.wongnai.com/restaurants/640688Vq,https://www.facebook.com/cafeamazonofficial/,20,ok
251829,251829pw,09VwpBTRUfliPNH7Cz5uqZ0DRxJu8L,กาแฟดอยช้าง ณ บ้านผือ,กาแฟดอยช้าง ณ บ้านผือ,DOICHAANG @ BANPHUE,17.6894358,102.4753939,41160,ร้านกาแฟ/ชา,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2016/11/03/106dd7d203824020b01943f9eb8426aa.jpg,https://www.wongnai.com/restaurants/251829pw,,,http_error
2826804,2826804Py,09VyFdRrzV23zae3E905VNprQX9MBF,เชลลี่คาเฟ่ - Shelly Cafe,,,17.6891788,102.4754584,41160,คาเฟ่|เบเกอรี/เค้ก,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2025/12/15/d3d93aa9c1244b0c99f3c96ae461825d.jpg,https://www.wongnai.com/restaurants/2826804Py,,,http_error
3154936,3154936yH,09VyRWECIrz1vD2UIjXEPajBliAB3V,GODFATHER UDON,,,17.4294081,102.989615,,คาเฟ่,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2025/08/29/0931d30f3642453582d8c996b526a6c5.jpg,https://www.wongnai.com/restaurants/3154936yH,https://www.facebook.com/godfatherudon/posts/sunday-be-like-see-you-at-godfather-udonlocation-httpsmapsappgooglhecfvm4mtgbsw9/122125633700879197/,2,ok
3586032,3586032UE,09Vye2ISmyIV8DIvRN6LNffXZRMJKr,เฮียอั๋นต้มเลือดหมู,,,16.998426,102.89183,,ก๋วยเตี๋ยว|อาหารตามสั่ง,ก๋วยเตี๋ยว,1,https://img.wongnai.com/p/_-x_/2025/12/22/d4a1271bdfa04fe8b9dc6fa7e1177c4f.jpg,https://www.wongnai.com/restaurants/3586032UE,https://www.facebook.com/p/%E0%B9%80%E0%B8%AE%E0%B8%B5%E0%B8%A2%E0%B9%81%E0%B8%AD%E0%B8%99%E0%B8%97%E0%B9%8C%E0%B8%95%E0%B9%89%E0%B8%A1%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%AB%E0%B8%A1%E0%B8%B9-61559685351949/,19,ok
233029,233029ta,09VwpBTRUmAp0WSEkSunj2V7sNrEkw,แหนมเนืองนายช่าง,แหนมเนืองนายช่าง,Namnuang Naiichang,17.069062,102.926373,41370,อาหารเวียดนาม,อาหารเวียดนาม,1,https://img.wongnai.com/p/_-x_/2017/11/22/28ced1b5dda342998f4d9802e2d8d0a6.jpg,https://www.wongnai.com/restaurants/233029ta,https://www.facebook.com/namnuangnaiichangdelivery/,4,ok
342037,342037oh,09VwpBTRY0tW6Cvu7ubHSwUbgBg0Ih,ทะเลบัวแดง,,,17.2123791,103.03447000000006,,อุทยานและธรรมชาติ|จุดชมวิว,อุทยานและธรรมชาติ,1,https://img.wongnai.com/p/_-x_/2019/08/06/89611db051b249b7ae94fe94722660de.jpg,https://www.wongnai.com/restaurants/342037oh,,,http_error
2271804,2271804qj,09VxwH18oGMA0bm24G8HBf3sH2j5sf,Five Star โลตัสโกเฟรช พันดอน,ห้าดาว,Five Star,17.12997661,102.9625527,41370,ปิ้งย่าง|สตรีทฟู้ด/รถเข็น,ปิ้งย่าง,1,https://img.wongnai.com/p/_-x_/deleted/2023/02/16/e8c7bffe55c843a88b8d39bffab523f8.jpg,https://www.wongnai.com/restaurants/2271804qj,,,http_error
1307841,1307841rV,09VxYtqRMTtpYs8kDgwEUgrVlHhS6L,วัดภูตะเภาทอง,วัดภูตะเภาทอง,Phu Taphao Thong Temple,17.032457,102.664631,,ภูเขา|อุทยานและธรรมชาติ|วัด,ภูเขา,1,https://img.wongnai.com/p/_-x_/2021/12/02/8d6131f9fde04282a2dca0fa81554567.jpg,https://www.wongnai.com/restaurants/1307841rV,,,http_error
1449954,1449954Xi,09VxcRhcccmlKioiw1T09VgAHZPK31,S.iri cafe,S.iri cafe,,17.6968316,103.2568855,,คาเฟ่,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2022/02/24/0d265cffd64d4e2fbe095701f77282d3.jpg,https://www.wongnai.com/restaurants/1449954Xi,,,http_error
3251499,3251499aA,09VyUceqtJ94SxotpME9fLJ32ijJpn,Pimmy Cafe บ้านขนมพิมมี่,,,17.08747,103.074683,,ร้านกาแฟ/ชา|เบเกอรี/เค้ก,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2025/06/22/e03544e2ec6b4aca98055b68ab1e807f.jpg,https://www.wongnai.com/restaurants/3251499aA,,,http_error
308070,308070cQ,09VwpBTRQHTDgC5dvzwhzakxy1byYb,ครัวอยุธยา เด๋ กุ้งเผา คำชะโนด,@เด๋กุ้งเผา บ้างดุง,,17.740621,103.357185,,อาหารไทย|อาหารอีสาน/ร้านส้มตำ|อาหารตามสั่ง,อาหารไทย,1,https://img.wongnai.com/p/_-x_/2019/08/12/80daf6abda8c4c00b387e167430253ae.jpg,https://www.wongnai.com/restaurants/308070cQ,,,http_error
3807897,3807897xA,09VylSznPodlTA4PdUErBFij1oP30K,Mammoth (กินกับแมมมอธ),กินกับแมมมอธ,Mammoth,17.68446877305247,103.25754778459668,41190,ฟาสต์ฟู้ด/จานด่วน,ฟาสต์ฟู้ด/จานด่วน,1,https://img.wongnai.com/p/_-x_/2026/05/24/5d47bf5b95164601b7defe76d8ba96fe.jpg,https://www.wongnai.com/restaurants/3807897xA,,,http_error
3769538,3769538xj,09VykHpkT1yLTCZILRCA7UJH1jwpkW,Daily Donuts อำเภอกุมภวาปี,Daily Donuts,,17.10999272640814,103.01722046368427,41370,ของหวาน,ของหวาน,1,https://img.wongnai.com/p/_-x_/2026/05/22/8dbedfc56b30455ba65e52b04cc602a6.jpg,https://www.wongnai.com/restaurants/3769538xj,,,http_error
3754430,3754430JB,09Vyjnu2nVucnLojb5Us8WjUssMRXN,พอใจ ปังปังปิ้ง,,,17.096088473283068,103.01286262884372,41110,เบเกอรี/เค้ก,เบเกอรี/เค้ก,1,https://img.wongnai.com/p/_-x_/2026/04/22/0f9d623b898245e58689bd02ecbefd2a.jpg,https://www.wongnai.com/restaurants/3754430JB,,,http_error
165651,165651Lp,09VwpBTRQIUoJJxM4nPLrLXp6hABKy,Roong Na Pha แหนมเนือง,,,17.967728,102.603679,43130,อาหารเวียดนาม,อาหารเวียดนาม,1,https://img.wongnai.com/p/_-x_/2019/04/30/e905a799242d48baae414bfbaf93cae5.jpg,https://www.wongnai.com/restaurants/165651Lp,,,http_error
176322,176322pw,09VwpBTRTPHhMqsWfjbCipbKg14v6v,Vieng nem neung,เวียง แหนมเนือง,,17.948752,102.619405,43130,อาหารเวียดนาม|ชาบู/สุกี้ยากี้/หม้อไฟ,อาหารเวียดนาม,1,https://img.wongnai.com/p/_-x_/2016/09/07/ae4c43f71f52477c8399fd7f31f0f024.jpg,https://www.wongnai.com/restaurants/176322pw,,,http_error
2451663,2451663DL,09Vy198KNJUZ5BfbLoV5Oc1tDFJkrn,พิมอาหารตามสั่ง,,,17.589122062719298,102.4132333137095,15000,อาหารตามสั่ง,อาหารตามสั่ง,1,https://img.wongnai.com/p/_-x_/2023/08/16/9dc7d13460b64d44a9f279762d4f0658.jpg,https://www.wongnai.com/restaurants/2451663DL,,,http_error
2247131,2247131ez,09VxvXKOsuiOw9OnK07QK8UscDW8Qe,นิชา พิชซ่า,นิชา พิชซ่า,,17.097476595133426,103.03652035072446,41110,พิซซ่า,พิซซ่า,1,https://img.wongnai.com/p/_-x_/2023/04/10/1f8eaf2c00c945e795cb3113eb997106.jpg,https://www.wongnai.com/restaurants/2247131ez,,,http_error
1986002,1986002xD,09VxoQDC4nfvY8H0ZI20lfyFqhhIot,Hop Chafe หนองเดิ่น จ.หนองคาย,,,17.816410145737176,103,41260,ชานมไข่มุก,ชานมไข่มุก,1,https://img.wongnai.com/p/_-x_/deleted/2018/10/31/d314c807549d483da37c57053275139e.jpg,https://www.wongnai.com/restaurants/1986002xD,,,http_error
451303,451303HJ,09VwzXwHP0OS6AQ67BQumps7c96iLt,BaanYa Cafe' - Moto-O บ้านผือ,BaanYa Cafe' - Moto-O,BaanYa Cafe' - Moto-O,17.685844,102.484492,,คาเฟ่|ชานมไข่มุก,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2020/05/16/7e1a3bd5f9e9482eb451545fa5777283.jpg,https://www.wongnai.com/restaurants/451303HJ,,,http_error
2426007,2426007hi,09Vy0Ja7KeovnvPVOIVVQIz25s0cMb,นัดพบคอฟฟี่,,,17.686024528651622,102.48647455077953,41160,ร้านกาแฟ/ชา,ร้านกาแฟ/ชา,1,https://img.wongnai.com/p/_-x_/2023/07/24/74d77b4550224853aa7a2d1b5a40338a.jpg,https://www.wongnai.com/restaurants/2426007hi,,,http_error
3633152,3633152zr,09Vyfrs9H0TRBWT9o6yEXzLok2Wsfy,Mone Cha (โมเน่ชา)  2 บ้านดุง,Mone Cha (โมเน่ชา) ,,17.7388236,103.2201828,41190,คาเฟ่,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2026/03/27/4eea5179b438405094933966c7521239.jpg,https://www.wongnai.com/restaurants/3633152zr,,,http_error
3789643,3789643Gh,09Vykxv0wu3T6ZRy4zPmF1aRqCimN6,Dairy Queen ® Lotus Banpue,แดรี่ควีน,Dairy Queen,17.68971,102.46394,,ไอศกรีม|ของหวาน,ไอศกรีม,1,https://img.wongnai.com/p/_-x_/2025/07/25/70c7e410fd3d4bf3a975ef7d95bbc1e6.jpg,https://www.wongnai.com/restaurants/3789643Gh,,,http_error
2435172,2435172XY,09Vy0doo1XrXonSBRdqROlearGuXKU,ตำ ยำ ยั่ว By ภูมิ บ้านดุง,,,17.7268355,103.2510843,,อาหารอีสาน/ร้านส้มตำ,อาหารอีสาน/ร้านส้มตำ,1,https://img.wongnai.com/p/_-x_/2023/08/11/082a952070e34621aa36ab5a81092f4b.jpg,https://www.wongnai.com/restaurants/2435172XY,,,http_error
3624695,3624695gA,09VyfbpVJea1YyN6FmXsQhDasPcTvy,ครัวคุณหวาน Cafe & Restaurants น้ำโสม,ครัวคุณหวาน Cafe & Restaurants,,17.7120101,102.2090224,41210,คาเฟ่,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2026/04/01/90359b278fab45ec9523aaab7676a6ab.jpg,https://www.wongnai.com/restaurants/3624695gA,,,http_error
3696436,3696436LZ,09VyhvBijqftvZ2thighlLgKeFJzVT,COCO Walk มะพร้าวน้ำหอมล้วน ๆ - ปั๊ม PT ใกล้รพ. กุมภวาปี,COCO Walk มะพร้าวน้ำหอมล้วน ๆ - ปั๊ม PT ใกล้รพ. กุมภวาปี,COCO Walk - fresh coconut juice (PT Kumphawapi),17.106237729372623,103.01928782835603,41110,เครื่องดื่ม/น้ำผลไม้|ของหวาน,เครื่องดื่ม/น้ำผลไม้,1,https://img.wongnai.com/p/_-x_/2026/03/07/0b35413fd86144bca9bca90dd12ecd7e.jpg,https://www.wongnai.com/restaurants/3696436LZ,,,http_error
192617,192617hu,09VwpBTRRDmcMpw3HDOlNbkfWFYYvK,Niku-O เวียงจันทร์,นิกุโอ,Nikuo,17.969649,102.614454,43130,ปิ้งย่าง|อาหารเกาหลี|อาหารญี่ปุ่น,ปิ้งย่าง,1,https://img.wongnai.com/p/_-x_/2018/11/22/723bfb95540240428cb2599d41d1a00e.jpg,https://www.wongnai.com/restaurants/192617hu,,,http_error
3622544,3622544mK,09VyfYPHq56UtY1P4jG1WuXsEuVWAa,บ้านไร่คาเฟ่ (Baanrai Cafa) กุมภวาปี,บ้านไร่คาเฟ่ (Baanrai Cafa),,17.1078194,102.9435536,41370,คาเฟ่,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2026/03/07/b5b1cfb701ef463bab31c03b506c38d2.jpg,https://www.wongnai.com/restaurants/3622544mK,,,http_error
2537892,2537892qq,09Vy4WieuBzxgNMMKlPFZJWNQDxW6q,AZURE COFFEE & REST แอชเชอร์ คอฟฟี่ แอนด์ เรสท์,AZURE COFFEE & REST,AZURE COFFEE & REST,16.962848004894,103.43605633825,,คาเฟ่,คาเฟ่,1,https://img.wongnai.com/p/_-x_/2023/10/07/69fc61b03eff44a5aa47f0bc7c06fa04.jpg,https://www.wongnai.com/restaurants/2537892qq,,,http_error
